cycle_number,sensor_id,condition,sensor_reading,reference_value,reference_source,abs_error,error_pct,pass_fail,notes
1,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
1,humidity,room_temperature,74.5,74,digital_hygrometer,0.5,0.68,PASS,
2,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
2,humidity,room_temperature,74.5,74,digital_hygrometer,0.5,0.68,PASS,
3,temperature,room_temperature,30.7,30,digital_thermometer,0.7,2.33,PASS,
3,humidity,room_temperature,74.5,74,digital_hygrometer,0.5,0.68,PASS,
4,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
4,humidity,room_temperature,74.5,74,digital_hygrometer,0.5,0.68,PASS,
5,temperature,room_temperature,30.7,30.5,digital_thermometer,0.2,0.66,PASS,
5,humidity,room_temperature,74.4,74,digital_hygrometer,0.4,0.54,PASS,
6,temperature,room_temperature,30.7,30,digital_thermometer,0.7,2.33,PASS,
6,humidity,room_temperature,74.5,74.4,digital_hygrometer,0.1,0.13,PASS,
7,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
7,humidity,room_temperature,74.5,74.3,digital_hygrometer,0.2,0.27,PASS,
8,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
8,humidity,room_temperature,74.5,74.5,digital_hygrometer,0,0,PASS,
9,temperature,room_temperature,30.7,30.7,digital_thermometer,0,0,PASS,
9,humidity,room_temperature,74.3,74.5,digital_hygrometer,0.2,0.27,PASS,
10,temperature,room_temperature,30.6,30.7,digital_thermometer,0.1,0.33,PASS,
10,humidity,room_temperature,74.3,74.4,digital_hygrometer,0.1,0.13,PASS,
11,temperature,cooled_environment,28.9,28.9,digital_thermometer,0,0,PASS,
11,humidity,cooled_environment,50,49.8,digital_hygrometer,0.2,0.4,PASS,
12,temperature,cooled_environment,28.7,28.9,digital_thermometer,0.2,0.69,PASS,
12,humidity,cooled_environment,51.4,51,digital_hygrometer,0.4,0.78,PASS,
13,temperature,cooled_environment,28.7,28.7,digital_thermometer,0,0,PASS,
13,humidity,cooled_environment,52.6,52.2,digital_hygrometer,0.4,0.77,PASS,
14,temperature,cooled_environment,28.6,28.6,digital_thermometer,0,0,PASS,
14,humidity,cooled_environment,53.4,53.1,digital_hygrometer,0.3,0.56,PASS,
15,temperature,cooled_environment,28.6,28.6,digital_thermometer,0,0,PASS,
15,humidity,cooled_environment,55.4,55,digital_hygrometer,0.4,0.73,PASS,
16,temperature,cooled_environment,28.6,28.6,digital_thermometer,0,0,PASS,
16,humidity,cooled_environment,56.1,56,digital_hygrometer,0.1,0.18,PASS,
17,temperature,cooled_environment,28.5,28.6,digital_thermometer,0.1,0.35,PASS,
17,humidity,cooled_environment,57.3,57,digital_hygrometer,0.3,0.52,PASS,
18,temperature,cooled_environment,28.5,28.5,digital_thermometer,0,0,PASS,
18,humidity,cooled_environment,58.1,57.8,digital_hygrometer,0.3,0.52,PASS,
19,temperature,cooled_environment,28.5,28.5,digital_thermometer,0,0,PASS,
19,humidity,cooled_environment,58.7,58.5,digital_hygrometer,0.2,0.34,PASS,
20,temperature,cooled_environment,28.5,28.5,digital_thermometer,0,0,PASS,
20,humidity,cooled_environment,59.1,59,digital_hygrometer,0.1,0.17,PASS,
21,temperature,warm_environment,33.1,33,digital_thermometer,0.1,0.3,PASS,
21,humidity,warm_environment,99.9,99.9,digital_hygrometer,0,0,PASS,
22,temperature,warm_environment,33.2,33.1,digital_thermometer,0.1,0.3,PASS,
22,humidity,warm_environment,99.9,99.9,digital_hygrometer,0,0,PASS,
